year,month,index_month,index_year
2021,7,98.09999999999999,97.5
2021,8,98.5,97.5
2021,9,98.7,97.5
2021,10,99,97.5
2021,11,99.40000000000001,97.5
2021,12,100,97.5
2022,1,100.2,
2022,2,100.8,
2022,3,101.8,
2022,4,102.4,
2022,5,103.1,
2022,6,104.2,
2022,7,105.8,
2022,8,106,
2022,9,,
2022,10,,
2022,11,,
2022,12,,
